disk   #   decomp    comp  ok  class          name
d3     4   343164  269060  ok  hunk-exe       d3_c04_hunk-exe_343164.bin
d3     5   204800   18548  ok  binary/gfx     d3_c05_binary-gfx_204800.bin
d3     6   204800   13302  ok  binary/gfx     d3_c06_binary-gfx_204800.bin
d3     7   204800    6966  ok  binary/gfx     d3_c07_binary-gfx_204800.bin
d3     8   204800   28612  ok  binary/gfx     d3_c08_binary-gfx_204800.bin
d3     9   247146   75842  ok  IFF:ANIM       d3_c09_IFF_ANIM_247146.bin
d3    10   125032   76030  ok  IFF:ANIM       d3_c10_IFF_ANIM_125032.bin
d4     1    51264   24886  ok  binary/gfx     d4_c01_binary-gfx_51264.bin
d4     2    53588    6488  ok  level 300x84   d4_c02_level_53588.bin
d4     3    53588   13894  ok  level 300x84   d4_c03_level_53588.bin
d4     4    53588   14592  ok  level 300x84   d4_c04_level_53588.bin
d4     5    53588   18458  ok  level 300x84   d4_c05_level_53588.bin
d4     6      500     350  ok  tag:PAGE       d4_c06_tag_PAGE_500.bin
d4     7   134400   38532  ok  binary/gfx     d4_c07_binary-gfx_134400.bin
d4     8    64000   30606  ok  binary/gfx     d4_c08_binary-gfx_64000.bin
d4     9    26880    2850  ok  binary/gfx     d4_c09_binary-gfx_26880.bin
d4    10   134400   26888  ok  binary/gfx     d4_c10_binary-gfx_134400.bin
d4    11    64000   13758  ok  binary/gfx     d4_c11_binary-gfx_64000.bin
d4    12    26880     616  ok  binary/gfx     d4_c12_binary-gfx_26880.bin
d4    13    53588    1984  ok  level 300x84   d4_c13_level_53588.bin
d4    14    53588    6488  ok  level 300x84   d4_c14_level_53588.bin
d4    15    53588   13874  ok  level 300x84   d4_c15_level_53588.bin
d4    16    53588   14306  X   binary/gfx     d4_c16_binary-gfx_53588.bin
d4    17    53588   18444  ok  level 300x84   d4_c17_level_53588.bin

103/106 decompressed OK; 29 T7MP levels -> build/decomp/
